ap_year,ap_num,vp_num,pport,ppst,permit,target,category,lat,long,state_full,council
1996,227829,221741,GLOUCESTER,MA,lobster_1,lobster,commercial,42.6153595,-70.662461,Massachusetts,New England
1996,227830,127133,GLOUCESTER,MA,lobster_1,lobster,commercial,42.6153595,-70.662461,Massachusetts,New England
1996,227831,231461,RYE,NH,lobster_1,lobster,commercial,43.0120186,-70.771943,New Hampshire,New England
